2023-03-16 08:21:23,655,655 root INFO Block: 860159 To 864255, Step block: 4096, Total transaction: 7188, Transaction ERC-721: 0, Crawled Transaction: 427674, Crawled Transaction ERC 721: 150
2023-03-16 08:21:26,577,577 root INFO Block: 864255 To 868351, Step block: 4096, Total transaction: 7733, Transaction ERC-721: 0, Crawled Transaction: 435407, Crawled Transaction ERC 721: 150
2023-03-16 08:21:32,462,462 root INFO Block: 868351 To 870399, Step block: 2048, Total transaction: 5881, Transaction ERC-721: 0, Crawled Transaction: 441288, Crawled Transaction ERC 721: 150
2023-03-16 08:21:34,805,805 root INFO Block: 870399 To 872447, Step block: 2048, Total transaction: 4534, Transaction ERC-721: 0, Crawled Transaction: 445822, Crawled Transaction ERC 721: 150
2023-03-16 08:21:37,142,142 root INFO Block: 872447 To 874495, Step block: 2048, Total transaction: 4316, Transaction ERC-721: 0, Crawled Transaction: 450138, Crawled Transaction ERC 721: 150
2023-03-16 08:21:39,632,632 root INFO Block: 874495 To 876543, Step block: 2048, Total transaction: 4913, Transaction ERC-721: 0, Crawled Transaction: 455051, Crawled Transaction ERC 721: 150
2023-03-16 08:21:42,842,842 root INFO Block: 876543 To 878591, Step block: 2048, Total transaction: 8868, Transaction ERC-721: 1, Crawled Transaction: 463919, Crawled Transaction ERC 721: 151
2023-03-16 08:21:46,373,373 root INFO Block: 878591 To 880639, Step block: 2048, Total transaction: 7677, Transaction ERC-721: 0, Crawled Transaction: 471596, Crawled Transaction ERC 721: 151
2023-03-16 08:21:48,895,895 root INFO Block: 880639 To 882687, Step block: 2048, Total transaction: 4929, Transaction ERC-721: 0, Crawled Transaction: 476525, Crawled Transaction ERC 721: 151
2023-03-16 08:21:51,192,192 root INFO Block: 882687 To 884735, Step block: 2048, Total transaction: 3895, Transaction ERC-721: 0, Crawled Transaction: 480420, Crawled Transaction ERC 721: 151
2023-03-16 08:21:51,193,193 root INFO Block: 884735 To 888831, Step block: 4096, Total transaction: 3895, Transaction ERC-721: 0, Crawled Transaction: 484315, Crawled Transaction ERC 721: 151
2023-03-16 08:21:56,741,741 root INFO Block: 888831 To 890879, Step block: 2048, Total transaction: 4813, Transaction ERC-721: 0, Crawled Transaction: 489128, Crawled Transaction ERC 721: 151
2023-03-16 08:21:59,166,166 root INFO Block: 890879 To 892927, Step block: 2048, Total transaction: 5232, Transaction ERC-721: 2, Crawled Transaction: 494360, Crawled Transaction ERC 721: 153
2023-03-16 08:22:02,257,257 root INFO Block: 892927 To 894975, Step block: 2048, Total transaction: 5136, Transaction ERC-721: 2, Crawled Transaction: 499496, Crawled Transaction ERC 721: 155
2023-03-16 08:22:05,873,873 root INFO Block: 894975 To 897023, Step block: 2048, Total transaction: 6540, Transaction ERC-721: 1, Crawled Transaction: 506036, Crawled Transaction ERC 721: 156
2023-03-16 08:22:09,335,335 root INFO Block: 897023 To 899071, Step block: 2048, Total transaction: 7637, Transaction ERC-721: 206, Crawled Transaction: 513673, Crawled Transaction ERC 721: 362
2023-03-16 08:22:13,022,22 root INFO Block: 899071 To 901119, Step block: 2048, Total transaction: 5952, Transaction ERC-721: 39, Crawled Transaction: 519625, Crawled Transaction ERC 721: 401
2023-03-16 08:22:16,939,939 root INFO Block: 901119 To 903167, Step block: 2048, Total transaction: 5445, Transaction ERC-721: 15, Crawled Transaction: 525070, Crawled Transaction ERC 721: 416
2023-03-16 08:22:20,403,403 root INFO Block: 903167 To 905215, Step block: 2048, Total transaction: 8639, Transaction ERC-721: 20, Crawled Transaction: 533709, Crawled Transaction ERC 721: 436
2023-03-16 08:22:23,643,643 root INFO Block: 905215 To 907263, Step block: 2048, Total transaction: 7756, Transaction ERC-721: 113, Crawled Transaction: 541465, Crawled Transaction ERC 721: 549
2023-03-16 08:22:26,938,938 root INFO Block: 907263 To 909311, Step block: 2048, Total transaction: 5882, Transaction ERC-721: 33, Crawled Transaction: 547347, Crawled Transaction ERC 721: 582
2023-03-16 08:22:29,964,964 root INFO Block: 909311 To 911359, Step block: 2048, Total transaction: 4614, Transaction ERC-721: 7, Crawled Transaction: 551961, Crawled Transaction ERC 721: 589
2023-03-16 08:22:32,674,674 root INFO Block: 911359 To 913407, Step block: 2048, Total transaction: 3884, Transaction ERC-721: 17, Crawled Transaction: 555845, Crawled Transaction ERC 721: 606
2023-03-16 08:22:33,194,194 root INFO Block: 913407 To 917503, Step block: 4096, Total transaction: 3884, Transaction ERC-721: 17, Crawled Transaction: 559729, Crawled Transaction ERC 721: 623
2023-03-16 08:22:36,880,880 root INFO Block: 917503 To 921599, Step block: 4096, Total transaction: 8843, Transaction ERC-721: 34, Crawled Transaction: 568572, Crawled Transaction ERC 721: 657
2023-03-16 08:22:42,998,998 root INFO Block: 921599 To 923647, Step block: 2048, Total transaction: 4991, Transaction ERC-721: 14, Crawled Transaction: 573563, Crawled Transaction ERC 721: 671
2023-03-16 08:22:46,028,28 root INFO Block: 923647 To 925695, Step block: 2048, Total transaction: 5551, Transaction ERC-721: 18, Crawled Transaction: 579114, Crawled Transaction ERC 721: 689
2023-03-16 08:22:49,161,161 root INFO Block: 925695 To 927743, Step block: 2048, Total transaction: 7325, Transaction ERC-721: 18, Crawled Transaction: 586439, Crawled Transaction ERC 721: 707
2023-03-16 08:22:53,467,467 root INFO Block: 927743 To 929791, Step block: 2048, Total transaction: 7539, Transaction ERC-721: 12, Crawled Transaction: 593978, Crawled Transaction ERC 721: 719
2023-03-16 08:22:57,425,425 root INFO Block: 929791 To 931839, Step block: 2048, Total transaction: 6055, Transaction ERC-721: 11, Crawled Transaction: 600033, Crawled Transaction ERC 721: 730
2023-03-16 08:23:01,521,521 root INFO Block: 931839 To 933887, Step block: 2048, Total transaction: 6724, Transaction ERC-721: 13, Crawled Transaction: 606757, Crawled Transaction ERC 721: 743
2023-03-16 08:23:05,763,763 root INFO Block: 933887 To 935935, Step block: 2048, Total transaction: 6613, Transaction ERC-721: 88, Crawled Transaction: 613370, Crawled Transaction ERC 721: 831
2023-03-16 08:23:09,604,604 root INFO Block: 935935 To 937983, Step block: 2048, Total transaction: 5942, Transaction ERC-721: 11, Crawled Transaction: 619312, Crawled Transaction ERC 721: 842
